type,title,overview,tmdb_id,imdb_id,provider,release_date,tmdb_rating,popularity,poster_path,genres,imdb_rating,imdb_votes
Movie,Dragonkeeper,"Set in Han Imperial China, the plot follows the adventures of enslaved girl Ping with ancient dragon Long Danzi. Dragons had been banished from the kingdom. Ping, an orphan, finds one of the last remaining dragon eggs. Palace guards force Ping to run away in order to return the dragon egg to the ocean and save all dragons from extinction. Ping discovers that she is a true Dragonkeeper.",588648,tt7093904,Hulu,2024-04-11,7.679,13.2495,/ggZGnJLzO3BTu7ysuuIzou3Oex5.jpg,"Animation, Family, Action, Adventure, Fantasy",5.7,"1,677"
Movie,Azrael,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",1029235,tt22173666,Hulu,2024-09-27,5.98,13.0185,/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg,"Action, Horror, Thriller",5.4,"11,984"
Movie,Girl in the Basement,"Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",801335,tt13269536,Hulu,2021-02-27,7.617,13.0103,/tPP9n6r5QrIKPnshnJqE7klptj2.jpg,"Thriller, Crime, TV Movie",6.3,"17,040"
Movie,Bullet Train,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",718930,tt12593682,Hulu,2022-08-03,7.435,12.5201,/zTgMFlHG5D1EqdQDhfOTAsyzGoX.jpg,"Action, Comedy, Thriller",7.3,"495,921"
Movie,Kingdom of Heaven,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",1495,tt0320661,Hulu,2005-05-03,7.0,12.4426,/rNaBe4TwbMef71sgscqabpGKsxh.jpg,"Drama, Action, Adventure, History, War",7.3,"336,300"
Movie,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,106,tt0093773,Hulu,1987-06-12,7.537,12.2419,/k3mW4qfJo6SKqe6laRyNGnbB9n5.jpg,"Science Fiction, Action, Adventure, Thriller",7.8,"477,269"
Movie,Marked Men: Rule + Shaw,"Shaw Landon has loved Rule Archer from the moment she laid eyes on him. Rule, a fiery-tempered rebel tattoo artist, doesn’t have time for a good girl pre-med student like Shaw — even if she’s the only one who can see the person he truly is. She lives by other people’s rules; he makes his own. But a short skirt, too many birthday cocktails, and spilled secrets lead to a night neither can forget. Now, Shaw and Rule must figure out how a girl like her and a guy like him are supposed to be together without destroying their love…or each other.",1078600,tt26452781,Hulu,2025-01-22,6.687,12.2295,/gZQU8BtCH2IbMZq6QETiU4HXQSR.jpg,"Romance, Drama",5.2,"2,232"
Movie,Prey,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",766507,tt11866324,Hulu,2022-08-02,7.686,12.1109,/h58U7d1OZyuWaCWMYvw4mfnv6H3.jpg,"Thriller, Action, Science Fiction",7.1,"251,250"
Movie,Idiocracy,"To test its top-secret Human Hibernation Project, the Pentagon picks the most average Americans it can find - an Army private and a prostitute - and sends them to the year 2505 after a series of freak events. But when they arrive, they find a civilization so dumbed-down that they're the smartest people around.",7512,tt0387808,Hulu,2006-09-01,6.348,11.776,/q7sn0A3BkBxvzdwVFOGmJGE2vF8.jpg,"Comedy, Science Fiction, Adventure",6.5,"198,964"
Movie,The Prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",1124,tt0482571,Hulu,2006-10-17,8.204,11.6422,/Ag2B2KHKQPukjH7WutmgnnSNurZ.jpg,"Drama, Mystery, Science Fiction",8.5,"1,521,166"
